,book_authors,book_desc,book_rating,book_title,genres,tag_1,tag_2,tag_3
778,Dashiell Hammett,"Sam Spade is hired by the fragrant Miss Wonderley to track down her sister, who has eloped with a louse called Floyd Thursby. But Miss Wonderley is in fact the beautiful and treacherous Brigid O'Shaughnessy, and when Spade's partner Miles Archer is shot while on Thursby's trail, Spade finds himself both hunter and hunted: can he track down the jewel-encrusted bird, a treasure worth killing for, before the Fat Man finds him?",3.92,The Maltese Falcon,Mystery,Mystery,Romance,Fantasy
807,Agatha Christie,"In the village of King's Abbot, a widow's sudden suicide sparks rumors that she murdered her first husband, was being blackmailed, and was carrying on a secret affair with the wealthy Roger Ackroyd. The following evening, Ackroyd is murdered in his locked study--but not before receiving a letter identifying the widow's blackmailer. King's Abbot is crawling with suspects, including a nervous butler, Ackroyd's wayward stepson, and his sister-in-law, Mrs. Cecil Ackroyd, who has taken up residence in the victim's home. It's now up to the famous detective Hercule Poirot, who has retired to King's Abbot to garden, to solve the case of who killed Roger Ackroyd--a task in which he is aided by the village doctor and narrator, James Sheppard, and by Sheppard's ingenious sister, Caroline.The Murder of Roger Ackroyd is the book that made Agatha Christie a household name and launched her career as a perennial bestseller. Originally published in 1926, it is a landmark in the mystery genre. It was in the vanguard of a new class of popular detective fiction that ushered in the modern era of mystery novels.",4.22,The Murder of Roger Ackroyd,Mystery,Mystery,Fantasy,Romance
835,Trenton Lee Stewart|Carson Ellis,"""Are you a gifted child looking for special opportunities?"" Dozens of children respond to this peculiar ad in the newspaper and are then put through a series of mind-bending tests, which readers take along with them. Only four children-two boys and two girls-succeed. Their challenge: to go on a secret mission that only the most intelligent and inventive children could complete. To accomplish it they will have to go undercover at the Learning Institute for the Very Enlightened, where the only rule is that there are no rules. But what they'll find in the hidden underground tunnels of the school is more than your average school supplies. So, if you're gifted, creative, or happen to know Morse Code, they could probably use your help.",4.15,The Mysterious Benedict Society,Mystery,Fantasy,Romance,Mistery
840,Laurie R. King,"Long retired, Sherlock Holmes quietly pursues his study of honeybee behavior on the Sussex Downs. He never imagines he would encounter anyone whose intellect matched his own, much less an audacious teenage girl with a penchant for detection. Miss Mary Russell becomes Holmes' pupil and quickly hones her talent for deduction, disguises and danger. But when an elusive villain enters the picture, their partnership is put to a real test.",4.07,The Beekeeper's Apprentice,Mystery,Mystery,Fantasy,Romance
904,Gillian Flynn,"Fresh from a brief stay at a psych hospital, reporter Camille Preaker faces a troubling assignment: she must return to her tiny hometown to cover the murders of two preteen girls. For years, Camille has hardly spoken to her neurotic, hypochondriac mother or to the half-sister she barely knows: a beautiful thirteen-year-old with an eerie grip on the town. Now, installed in her old bedroom in her family's Victorian mansion, Camille finds herself identifying with the young victims—a bit too strongly. Dogged by her own demons, she must unravel the psychological puzzle of her own past if she wants to get the story—and survive this homecoming.",3.94,Sharp Objects,Mystery,Mystery,Romance,Fantasy
923,J.D. Robb,"Here is the novel that started it all- the first book in J.D. Robb's number-one New York Times-bestselling In Death series, featuring New York homicide detective Lieutenant Eve Dallas and Roarke.  It is the year 2058, and technology now completely rules the world. But New York City Detective Eve Dallas knows that the irresistible impulses of the human heart are still ruled by just one thing: passion.  When a senator's daughter is killed, the secret life of prostitution she'd been leading is revealed. The high-profile case takes Lieutenant Eve Dallas into the rarefied circles of Washington politics and society. Further complicating matters is Eve's growing attraction to Roarke, who is one of the wealthiest and most influential men on the planet, devilishly handsome... and the leading suspect in the investigation.",4.12,Naked in Death,Mystery,Romance,Sci-fi,Mistery
974,Heath Sommer,"Months after his mysterious disappearance from a routine fishing trip, no one really expects over-the-hill Texas housewife Lory Latchley to find her missing husband--especially her husband. The Manufactured Identity is clinical psychologist Heath Sommer's ever-escalating immersion into the world of unlikely friends who each awaken to find their faithful companions missing without warning or reason. Desperate to find meaning in their pain, they are thrust by the auspices of fate into a common thread of mystery and human frailty. In the end, the fate of all may reside in the unstable hands of rookie pastor John Joe, but ultimately Lory and her newfound partners will uncover a truth so unnerving it makes even infidelity look palatable.",3.52,The Manufactured Identity,Mystery,Science Fiction,Romance,Mistery
991,Gillian Flynn,"From The #1 New York Times Bestselling Author Of Gone GirlLibby Day was seven when her mother and two sisters were murdered in “The Satan Sacrifice"" of Kinnakee, Kansas. She survived—and famously testified that her fifteen-year-old brother, Ben, was the killer. Twenty-five years later, the Kill Club—a secret secret society obsessed with notorious crimes—locates Libby and pumps her for details. They hope to discover proof that may free Ben. Libby hopes to turn a profit off her tragic history: She’ll reconnect with the players from that night and report her findings to the club—for a fee. As Libby’s search takes her from shabby Missouri strip clubs to abandoned Oklahoma tourist towns, the unimaginable truth emerges, and Libby finds herself right back where she started—on the run from a killer.",3.93,Dark Places,Mystery,Mystery,Fantasy,Romance
1150,Jeffery Deaver,"Lincoln Rhyme was once a brilliant criminologist, a genius in the field of forensics -- until an accident left him physically and emotionally shattered. But now a diabolical killer is challenging Rhyme to a terrifying and ingenious duel of wits. With police detective Amelia Sachs by his side, Rhyme must follow a labyrinth of clues that reaches back to a dark chapter in New York City's past -- and reach further into the darkness of the mind of a madman who won't stop until he has stripped life down to the bone.",4.19,The Bone Collector,Mystery,Mystery,Sci-fi,Romance
1157,Harlan Coben,"For Dr. David Beck, the loss was shattering. And every day for the past eight years, he has relived the horror of what happened. The gleaming lake. The pale moonlight. The piercing screams. The night his wife was taken. The last night he saw her alive.Everyone tells him it's time to move on, to forget the past once and for all. But for David Beck, there can be no closure. A message has appeared on his computer, a phrase only he and his dead wife know. Suddenly Beck is taunted with the impossible- that somewhere, somehow, Elizabeth is alive.Beck has been warned to tell no one. And he doesn't. Instead, he runs from the people he trusts the most, plunging headlong into a search for the shadowy figure whose messages hold out a desperate hope.But already Beck is being hunted down. He's headed straight into the heart of a dark and deadly secret- and someone intends to stop him before he gets there.",4.11,Tell No One,Mystery,Mystery,Sci-fi,Romance
1188,Heath Sommer,"A year before retirement, Chief of Police Frank Murphy wants nothing more than to spend his golden years on HGTV marathons and endless tee-off times. What he gets is a string of abductions that makes Ted Bundy look like an amateur. The Human Obsession is the sequel to Heath Sommer's 2009 breakout psychological thriller The Manufactured Identity, where Murphy and hapless lovers Addy and John Joe scramble against inhuman odds and unpredictable twists to solve the riddles of murder, obsession, and human weakness. Focusing on the trial of Cameron Bo, alleged murderer and loony from Sommer's The Grand Delusion, The Human Obsession takes readers even deeper into the minds of Sommers' belovedand twistedcharacters. In the end, no one could have seen why those meant to protect and serve may be in the greatest danger of all.",4.14,The Human Obsession,Mystery,Mystery,Fantasy,Romance
1214,Josephine Tey,Scotland Yard Inspector Alan Grant is intrigued by a portrait of Richard III. Could such a sensitive face actually belong to a heinous villain — a king who killed his brother's children to secure his crown? Grant seeks what kind of man Richard was and who in fact killed the princes in the tower.,3.95,The Daughter of Time,Mystery,Mystery,Fantasy,Romance
1217,Ammar Habib|Glenda Mendoza,"Co-written by an accomplished police detective comes this riveting crime novel!Ana Rocha is a woman on fire. Being talented and from a well-off family, Ana could have become anything. But driven by her sister's murder, Ana chose the path of an undercover narcotics officer. Ana has made a vow to help clean up the streets of Houston. The journey her duty takes her on forces her to confront her worst nightmares and face the city’s most ruthless criminals. The further she goes down this path, the more the line between her two lives begins to blur. And soon, this journey brings her face-to-face with a monster from her past.What readers are saying:""Fans of James Patterson and Lee Child will fall in love with Ana Rocha!""""This is a great story that gives a great perspective of what police officers and Texas Rangers go through and the sacrifices many of them make.""""This story has it all: emotions, drama, thrills, and action!""",4.41,Ana Rocha: Shadows of Justice,Mystery,Mystery,Romance,Sci-fi
1218,James Patterson,"In Los Angeles, a reporter investigating a series of murders is killed. In Chapel Hill, North Carolina, a beautiful medical intern suddenly disappears. In Washington D.C. Alex Cross is back to solve the most baffling and terrifying murder case ever. Two clever pattern killers are collaborating, cooperating, competing - and they are working coast to coast.",3.95,Kiss the Girls,Mystery,Mystery,Fantasy,Sci-fi
1278,Raymond Chandler,"Down-and-out drunk Terry Lennox has a problem: his millionaire wife is dead and he needs to get out of LA fast. So he turns to the only friend he can trust: private investigator Philip Marlowe. Marlowe is willing to help a man down on his luck, but later Lennox commits suicide in Mexico and things start to turn nasty. Marlowe is drawn into a sordid crowd of adulterers and alcoholics in LA's Idle Valley, where the rich are suffering one big suntanned hangover. Marlowe is sure Lennox didn't kill his wife, but how many stiffs will turn up before he gets to the truth?",4.22,The Long Goodbye,Mystery,Mystery,Romance,Fantasy
1293,Heath Sommer,"Loner Addy Siwel only wanted answers when she signed up for a freshman course in theology—what she got was the attention of a murderer. In The Grand Delusion, Dr. Heath Sommer brings to life the precursor stories of characters John Joe, Addy Siwel, and Merci Bowku, who were introduced to the world in the 2009 contemporary mystery The Manufactured Identity. Terror-struck, the three protagonists vie against a backdrop of ironic evil as they are stalked by an unidentified villain who breaks all the rules and sends Chief of police and reluctant clairvoyant Frank Murphy scrambling against the clock in a murder mystery showdown that leaves all questioning what is real and what is beyond this world.",4.12,The Grand Delusion,Mystery,Mystery,Sci-fi,Fantasy
1308,Robert Galbraith|J.K. Rowling,"The Cuckoo's Calling is a 2013 crime fiction novel by J. K. Rowling, published under the pseudonym Robert Galbraith.A brilliant mystery in a classic vein: Detective Cormoran Strike investigates a supermodel's suicide.After losing his leg to a land mine in Afghanistan, Cormoran Strike is barely scraping by as a private investigator. Strike is down to one client, and creditors are calling. He has also just broken up with his longtime girlfriend and is living in his office.Then John Bristow walks through his door with an amazing story: His sister, the legendary supermodel Lula Landry, known to her friends as the Cuckoo, famously fell to her death a few months earlier. The police ruled it a suicide, but John refuses to believe that. The case plunges Strike into the world of multimillionaire beauties, rock-star boyfriends, and desperate designers, and it introduces him to every variety of pleasure, enticement, seduction, and delusion known to man.You may think you know detectives, but you've never met one quite like Strike. You may think you know about the wealthy and famous, but you've never seen them under an investigation like this.",3.85,The Cuckoo's Calling,Mystery,Mystery,Romance,Fantasy
1317,Agatha Christie|Elizabeth  George,"Who poisoned the wealthy Emily Inglethorpe, and how did the murderer penetrate and escape from her locked bedroom? Suspects abound in the quaint village of Styles St. Mary--from the heiress's fawning new husband to her two stepsons, her volatile housekeeper, and a pretty nurse who works in a hospital dispensary. Making his unforgettable debut, the brilliant Belgian detective Hercule Poirot is on the case. The key to the success of this style of detective novel, writes Elizabeth George in her Introduction, lies in how the author deals with both the clues and the red herrings, and it has to be said that no one bettered Agatha Christie at this game.",3.98,The Mysterious Affair at Styles,Mystery,Mystery,Romance,Fantasy
1334,Tess Gerritsen,"IN BOSTON, THERE'S A KILLER ON THE LOOSE...A killer who targets lone women, who breaks into their apartments and performs terrifying ritualistic acts of torture on them before finishing them off. His surgical skills lead police to suspect he is a physician - a physician who, instead of saving lives, takes them.But as homicide detective Thomas Moore and his partner Jane Rizzoli begin their investigation, they make a startling discovery. Closely linked to these killings is Catherine Cordell, a beautiful doctor with a mysterious past. Two years ago she was subjected to a horrifying rape and shot her attacker dead.Now the man she believes she killed seems to be stalking her once again, and this time he knows exactly where to find her...",4.1,The Surgeon,Mystery,Science Fiction,Romance,Fantasy
1400,James Patterson,"The classic thriller that launched the Alex Cross series, the #1 detective series of the past twenty-five years! A missing little girl named Maggie Rose . . . a family of three brutally murdered in the projects of Washington, D.C. . . . the thrill-killing of a beautiful elementary school teacher . . . a psychopathic serial kidnapper/murderer who is so terrifying that the FBI, the Secret Service, and the police cannot outsmart him - even after he's been captured.Gary Soneji wants to commit the crime of the century. Alex Cross is the brilliant homicide detective pitted against him. Jezzie Flanagan is the first female supervisor of the Secret Service who completes one of the most unusual suspense triangles in any thriller you have ever read. Alex Cross and Jezzie Flanagan are about to have a forbidden love affair--at the worst possible time for both of them. Because Gary Soneji is playing at the top of his game. The latest of the unspeakable crimes happens in Alex Cross's precinct. It happens under the noses of Jezzie Flanagan's men. Now Alex Cross must face the ultimate test: How do you outmaneuver a brilliant psychopath?",4.09,Along Came a Spider,Mystery,Mystery,Romance,Sci-fi
1422,Dorothy L. Sayers,"“Gaudy Night stands out even among Miss Sayers’s novels. And Miss Sayers has long stood in a class by herself.”—Times Literary SupplementThe great Dorothy L. Sayers is considered by many to be the premier detective novelist of the Golden Age, and her dashing sleuth, Lord Peter Wimsey, one of mystery fiction’s most enduring and endearing protagonists. Acclaimed author Ruth Rendell has expressed her admiration for Sayers’s work, praising her “great fertility of invention, ingenuity, and wonderful eye for detail.” The third Dorothy L. Sayers classic to feature mystery writer Harriet Vane, Gaudy Night is now back in print with an introduction by Elizabeth George, herself a crime fiction master. Gaudy Night takes Harriet and her paramour, Lord Peter, to Oxford University, Harriet’s alma mater, for a reunion, only to find themselves the targets of a nightmare of harassment and mysterious, murderous threats.",4.24,Gaudy Night,Mystery,Mystery,Fantasy,Romance
1460,Pseudonymous Bosch|Gilbert Ford,"Warning: this description has not been authorized by Pseudonymous Bosch. As much as he'd love to sing the praises of his book (he is very vain), he wouldn't want you to hear about his brave 11-year old heroes, Cass and Max-Ernest. Or about how a mysterious box of vials, the Symphony of Smells, sends them on the trail of a magician who has vanished under strange (and stinky) circumstances. And he certainly wouldn't want you to know about the hair-raising adventures that follow and the nefarious villains they face. You see, not only is the name of this book secret, the story inside is, too. For it concerns a secret. A Big Secret.",4.05,The Name of This Book Is Secret,Mystery,Mystery,Fantasy,Sci-fi
1539,Patricia Cornwell,"Under cover of night in Richmond, Virginia, a human monster strikes, leaving a gruesome trail of stranglings that has paralyzed the city. Medical examiner Kay Scarpetta suspects the worst: a deliberate campaign by a brilliant serial killer whose signature offers precious few clues. With an unerring eye, she calls on the latest advances in forensic research to unmask the madman. But this investigation will test Kay like no other, because it's being sabotaged from within—and someone wants her dead.",4.01,Postmortem,Mystery,Science Fiction,Mistery,Romance
1571,Trenton Lee Stewart|Diana Sudyka,"The fearsome foursome is back in the second installment of the New York Times bestselling series praised by Rick Riordan! The Mysterious Benedict Society is up against a new mission, significantly closer to home. After reuniting for a celebratory scavenger hunt, Reynie, Kate, Sticky, and Constance are forced to go on an unexpected search--a search to find Mr. Benedict. It seems that while he was preparing the kids' adventure, he stepped right into a trap orchestrated by his evil twin Mr. Curtain. With only one week to find a captured Mr. Benedict, the gifted foursome faces their greatest challenge of all--a challenge that will reinforce the reasons they were brought together in the first place and will require them to fight for the very namesake that united them.",4.21,The Mysterious Benedict Society and the Perilous Journey,Mystery,Mystery,Fantasy,Romance
1596,Angel Sefer,"A mansion full of secrets…From the moment investigative reporter Jackie Alexander steps foot inside the mansion dominating the Demiris estate on the beautiful Greek island of Corfu, her suspicions are on high alert. This is no ordinary assignment… The life of her beloved cousin, Aphrodite, is in grave danger, as the heirs to the incredible fortune of Greek tycoon Andreas Demiris die one after the other, under mysterious circumstances…A man with secrets of his own…The only person who can help Jackie is Michael Apostolou, former Special Forces Officer and one of the finest detectives on the Athens police force. Soon enough though, Jackie realizes, that despite her simmering desire for him, she can’t really trust him, as the seductive detective seems to be investigating those mysterious deaths for reasons of his own…Trusting the wrong person can be deadly…Jackie and Michael are forced to work together, but the suspicions and unanswered questions are devouring them, just like their rising passion for each other. In games like this, the stakes are high and the players are ruthless… When Jackie is kidnapped by the most dangerous player of all, time is running out, as Michael is forced to choose between jeopardizing his mission and personal quest for justice, or the life of the gorgeous intruder of his heart…",3.96,Spellbound in His Arms,Mystery,Romance,Mistery,Sci-fi
1639,Rick Riordan,"Minutes before she died Grace Cahill changed her will, leaving her decendants an impossible decision: You have a choice - one million dollars or a clue.Grace is the last matriarch of the Cahills, the world's most powerful family. Everyone from Napoleon to Houdini is related to the Cahills, yet the source of the family power is lost. 39 clues hidden around the world will reveal the family's secret, but no one has been able to assemble them. Now the clues race is on, and young Amy and Dan must decide what's important: hunting clues or uncovering what REALLY happened to their parents.",3.84,The Maze of Bones,Mystery,Mystery,Romance,Sci-fi
1645,Alan Bradley,"It is the summer of 1950–and at the once-grand mansion of Buckshaw, young Flavia de Luce, an aspiring chemist with a passion for poison, is intrigued by a series of inexplicable events: A dead bird is found on the doorstep, a postage stamp bizarrely pinned to its beak. Then, hours later, Flavia finds a man lying in the cucumber patch and watches him as he takes his dying breath.For Flavia, who is both appalled and delighted, life begins in earnest when murder comes to Buckshaw. “I wish I could say I was afraid, but I wasn’t. Quite the contrary. This was by far the most interesting thing that had ever happened to me in my entire life.”",3.81,The Sweetness at the Bottom of the Pie,Mystery,Mystery,Romance,Fantasy
1818,Stevie Turner,"This is an alternate-cover edition for B00HUH6R7Q.Dr Beth Nichols thinks she has been held captive by Edwin Evans for probably 8 or 9 years now. Amidst her grief she often thinks back to happier times with her fiancée Liam; theirs was the greatest romance of all. She lays awake at night, looks up at the light bulb that is never switched off, and prays that he is still out there somewhere searching for her..........",3.67,A House Without Windows,Mystery,Romance,Mistery,Fantasy
1826,Michael Connelly,"For maverick LAPD homicide detective Harry Bosch, the body in the drainpipe at Mulholland Dam is more than another anonymous statistic. This one is personal...because the murdered man was a fellow Vietnam ""tunnel rat"" who had fought side by side with him in a hellish underground war. Now Bosch is about to relive the horror of Nam. From a dangerous maze of blind alleys to a daring criminal heist beneath the city, his survival instincts will once again be tested to their limit. Pitted against enemies inside his own department and forced to make the agonizing choice between justice and vengeance, Bosch goes on the hunt for a killer whose true face will shock him.",4.1,The Black Echo,Mystery,Mystery,Fantasy,Romance
1855,Trenton Lee Stewart|Del Roy,"IF YOU FAIL,ALL IS LOST.Join the Mysterious Benedict Society as Reynie, Kate, Sticky, and Constance embark on a daring new adventure that threatens to force them apart from their families, friends, and even each other. When an unexplained blackout engulfs Stonetown, the foursome must unravel clues relating to a nefarious new plot, while their search for answers brings them closer to danger than ever before.",4.28,The Mysterious Benedict Society and the Prisoner's Dilemma,Mystery,Mystery,Fantasy,Sci-fi
1860,Arturo Pérez-Reverte|Sonia Soto,"A provocative literary thriller that playfully pays tribute to classic tales of mystery and adventureLucas Corso is a book detective, a middle-aged mercenary hired to hunt down rare editions for wealthy and unscrupulous clients. When a well-known bibliophile is found dead, leaving behind part of the original manuscript of Alexandre Dumas's The Three Musketeers, Corso is brought in to authenticate the fragment. He is soon drawn into a swirling plot involving devil worship, occult practices, and swashbuckling derring-do among a cast of characters bearing a suspicious resemblance to those of Dumas's masterpiece. Aided by a mysterious beauty named for a Conan Doyle heroine, Corso travels from Madrid to Toledo to Paris on the killer's trail in this twisty intellectual romp through the book world.",3.81,The Club Dumas,Mystery,Mystery,Romance,Fantasy
1865,Patricia Cornwell,"The Body Farm - a research institute that tests the decomposition of corpses. Black Mountain, North Carolina: a sleepy little town where the local police deal with one homicide a year, if they're unlucky, and where people are still getting used to the idea of locking their doors at night. But violent death is no respecter of venue, and the discovery of the corpse of the corpse of an 11-year-old girl sends shock waves through the community. Dr Kay Scarpetta, Chief medical Examiner on a similar case in Virginia, is called in to apply her forensic skills to this latest atrocity, but the apparent simplicity of the case proves something of a poisoned chalice - until Scarpetta finds enlightenment through the curious pathologists' playground known as the Body Farm.From Author’s Website",4.05,The Body Farm,Mystery,Mystery,Sci-fi,Fantasy
1878,Jo Nesbø|Don Bartlett,"Internationally acclaimed crime writer Jo Nesbø’s antihero police investigator, Harry Hole, is back: in a bone-chilling thriller that will take Hole to the brink of insanity. Oslo in November. The first snow of the season has fallen. A boy named Jonas wakes in the night to find his mother gone. Out his window, in the cold moonlight, he sees the snowman that inexplicably appeared in the yard earlier in the day. Around its neck is his mother’s pink scarf. Hole suspects a link between a menacing letter he’s received and the disappearance of Jonas’s mother—and of perhaps a dozen other women, all of whom went missing on the day of a first snowfall. As his investigation deepens, something else emerges: he is becoming a pawn in an increasingly terrifying game whose rules are devised—and constantly revised—by the killer.Fiercely suspenseful, its characters brilliantly realized, its atmosphere permeated with evil, The Snowman is the electrifying work of one of the best crime writers of our time.",4.01,The Snowman,Mystery,Mystery,Sci-fi,Romance
1879,C.J. Daugherty,"Allie Sheridan’s world is falling apart. Her brother’s run away from home. Her parents ignore her. And she’s just been arrested.Again.This time her parents have had enough. They cut her off from her friends and send her away to boarding school, far from her London friends.But at Cimmeria Academy, Allie is soon caught up in the strange activities of a secret group of elite students.When she’s attacked late one night the incident sets off a chain of increasingly violent events. As the school begins to seem like a very dangerous place, she finds out that nothing at Cimmeria is what it seems to be.And that she is not who she thought she was.",4.03,Night School,Mystery,Science Fiction,Romance,Fantasy
1955,Martin Cruz Smith,"A triple murder in a Moscow amusement center: three corpses found frozen in the snow, faces and fingers missing. Chief homicide investigator Arkady Renko is brilliant, sensitive, honest, and cynical about everything except his profession. To identify the victims and uncover the truth, he must battle the KGB, FBI, and New York police as he performs the impossible--and tries to stay alive doing it.",4.04,Gorky Park,Mystery,Mystery,Sci-fi,Fantasy
2026,Raymond Chandler,"Marlowe's about to give up on a completely routine case when he finds himself in the wrong place at the right time to get caught up in a murder that leads to a ring of jewel thieves, another murder, a fortune-teller, a couple more murders, and more corruption than your average graveyard.",4.16,"Farewell, My Lovely",Mystery,Mystery,Romance,Fantasy
