,book_authors,book_desc,book_rating,book_title,genres,MISC,LOC,ORG,PER
388,William Gibson,"The Matrix is a world within the world, a global consensus- hallucination, the representation of every byte of data in cyberspace . . .Case had been the sharpest data-thief in the business, until vengeful former employers crippled his nervous system. But now a new and very mysterious employer recruits him for a last-chance run. The target: an unthinkably powerful artificial intelligence orbiting Earth in service of the sinister Tessier-Ashpool business clan. With a dead man riding shotgun and Molly, mirror-eyed street-samurai, to watch his back, Case embarks on an adventure that ups the ante on an entire genre of fiction.Hotwired to the leading edges of art and technology, Neuromancer ranks with 1984 and Brave New World as one of the century's most potent visions of the future.",3.89,Neuromancer,Science Fiction,"['Matrix', 'Tessier-Ashpool', 'Neuromancer', 'Brave New World']",['Earth'],[],"['Case', 'Molly', 'Case']"
389,Andy Weir,"Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. Now, he’s sure he’ll be the first person to die there.After a dust storm nearly kills him and forces his crew to evacuate while thinking him dead, Mark finds himself stranded and completely alone with no way to even signal Earth that he’s alive—and even if he could get word out, his supplies would be gone long before a rescue could arrive. Chances are, though, he won’t have time to starve to death. The damaged machinery, unforgiving environment, or plain-old “human error” are much more likely to kill him first. But Mark isn’t ready to give up yet. Drawing on his ingenuity, his engineering skills — and a relentless, dogged refusal to quit — he steadfastly confronts one seemingly insurmountable obstacle after the next. Will his resourcefulness be enough to overcome the impossible odds against him?",4.4,The Martian,Science Fiction,['Earth'],['Mars'],[],"['Mark Watney', 'Mark', 'Mark']"
412,Isaac Asimov,"The three laws of Robotics:1) A robot may not injure a human being or, through inaction, allow a human being to come to harm.2) A robot must obey orders given to it by human beings except where such orders would conflict with the First Law.3) A robot must protect its own existence as long as such protection does not conflict with the First or Second Law.With these three, simple directives, Isaac Asimov changed our perception of robots forever when he formulated the laws governing their behavior. In I, Robot, Asimov chronicles the development of the robot through a series of interlinked stories: from its primitive origins in the present to its ultimate perfection in the not-so-distant future--a future in which humanity itself may be rendered obsolete.Here are stories of robots gone mad, of mind-read robots, and robots with a sense of humor. Of robot politicians, and robots who secretly run the world--all told with the dramatic blend of science fact and science fiction that has become Asimov's trademark.",4.18,"I, Robot",Science Fiction,"['First Law.3', 'Second Law.With', 'Robot']",[],[],"['Isaac Asimov', 'Asimov', 'Asimov']"
429,Neal Stephenson,"In reality, Hiro Protagonist delivers pizza for Uncle Enzo’s CosoNostra Pizza Inc., but in the Metaverse he’s a warrior prince. Plunging headlong into the enigma of a new computer virus that’s striking down hackers everywhere, he races along the neon-lit streets on a search-and-destroy mission for the shadowy virtual villain threatening to bring about infocalypse. Snow Crash is a mind-altering romp through a future America so bizarre, so outrageous…you’ll recognize it immediately.",4.03,Snow Crash,Science Fiction,"['Metaverse', 'Snow Crash']",['America'],['CosoNostra Pizza Inc.'],"['Hiro Protagonist', 'Uncle Enzo']"
437,Stephenie Meyer,"Also see: Alternate Cover Editions for this ISBN [ACE]  
ACE #1
 - 
ACE #2
Melanie Stryder refuses to fade away. The earth has been invaded by a species that take over the minds of human hosts while leaving their bodies intact. Wanderer, the invading ""soul"" who has been given Melanie's body, didn't expect to find its former tenant refusing to relinquish possession of her mind.As Melanie fills Wanderer's thoughts with visions of Jared, a human who still lives in hiding, Wanderer begins to yearn for a man she's never met. Reluctant allies, Wanderer and Melanie set off to search for the man they both love.",3.84,The Host,Science Fiction,[],[],[],"['Melanie Stryder', 'Wanderer', 'Melanie', 'Melanie', 'Wanderer', 'Jared', 'Wanderer', 'Wanderer', 'Melanie']"
481,Arthur C. Clarke,"On the Moon, an enigma is uncovered.So great are the implications of this discovery that for the first time men are sent out deep into our solar system.But long before their destination is reached, things begin to go horribly, inexplicably wrong...One of the greatest-selling science fiction novels of our time, this classic book will grip you to the very end.",4.13,2001: A Space Odyssey,Science Fiction,['Moon'],[],[],[]
492,Tahereh Mafi,"The heart-stopping conclusion to the New York Times bestselling Shatter Me series, which Ransom Riggs, bestselling author of Miss Peregrine’s Home for Peculiar Children, called “a thrilling, high-stakes saga of self-discovery and forbidden love.”With Omega Point destroyed, Juliette doesn’t know if the rebels, her friends, or even Adam are alive. But that won’t keep her from trying to take down The Reestablishment once and for all. Now she must rely on Warner, the handsome commander of Sector 45. The one person she never thought she could trust. The same person who saved her life. He promises to help Juliette master her powers and save their dying world . . . but that’s not all he wants with her.The Shatter Me series is perfect for fans who crave action-packed young adult novels with tantalizing romance like Divergent by Veronica Roth, The Hunger Games by Suzanne Collins, and Legend by Marie Lu. Tahereh Mafi has created a captivating and original story that combines the best of dystopian and paranormal, and was praised by Publishers Weekly as “a gripping read from an author who’s not afraid to take risks.” Now this final book brings the series to a shocking and satisfying end.",4.43,Ignite Me,Science Fiction,"['Shatter Me', 'Miss Peregrine ’s Home for Peculiar Children', 'Omega Point', 'The Reestablishment', 'Sector 45', 'Shatter Me', 'Divergent', 'Legend']",[],"['New York Times', 'The Hunger Games', 'Publishers Weekly']","['Ransom Riggs', 'Juliette', 'Adam', 'Warner', 'Juliette', 'Veronica Roth', 'Suzanne Collins', 'Marie Lu', 'Tahereh Mafi']"
496,Orson Scott Card|John Bruce Harris,"Now available in mass market, the revised, definitive edition of the Hugo and Nebula Award-winning classic. In this second book in the saga set 3,000 years after the terrible war, Ender Wiggin is reviled by history as the Xenocide--the destroyer of the alien Buggers. Now, Ender tells the true story of the war and seeks to stop history from repeating itself. ...In the aftermath of his terrible war, Ender Wiggin disappeared, and a powerful voice arose: The Speaker for the Dead, who told the true story of the Bugger War.Now, long years later, a second alien race has been discovered, but again the aliens' ways are strange and frightening...again, humans die. And it is only the Speaker for the Dead, who is also Ender Wiggin the Xenocide, who has the courage to confront the mystery...and the truth.Speaker for the Dead, the second novel in Orson Scott Card's Ender Quintet, is the winner of the 1986 Nebula Award for Best Novel and the 1987 Hugo Award for Best Novel.",4.05,Speaker for the Dead,Science Fiction,"['Hugo and Nebula Award-winning', 'Xenocide', 'Buggers', 'Bugger War.Now', 'Dead', 'Orson Scott Card', 'Ender Quintet', 'Nebula Award', 'Hugo Award']",[],[],"['Ender Wiggin', 'Ender', 'Ender Wiggin', 'Dead', 'Dead', 'Ender Wiggin the Xenocide']"
510,Dan Simmons,"On the world called Hyperion, beyond the law of the Hegemony of Man, there waits the creature called the Shrike. There are those who worship it. There are those who fear it. And there are those who have vowed to destroy it. In the Valley of the Time Tombs, where huge, brooding structures move backward through time, the Shrike waits for them all. On the eve of Armageddon, with the entire galaxy at war, seven pilgrims set forth on a final voyage to Hyperion seeking the answers to the unsolved riddles of their lives. Each carries a desperate hope—and a terrible secret. And one may hold the fate of humanity in his hands. A stunning tour de force filled with transcendent awe and wonder, Hyperion is a masterwork of science fiction that resonates with excitement and invention, the first volume in a remarkable new science fiction epic by the multiple-award-winning author of The Hollow ManFrom the Paperback edition.",4.22,Hyperion,Science Fiction,"['Hyperion', 'Hegemony of Man', 'Shrike', 'Armageddon', 'Hyperion', 'The Hollow ManFrom the Paperback']","['Valley of the Time Tombs', 'Hyperion']",[],['Shrike']
537,Marie Lu,"He is a Legend.She is a Prodigy.Who will be Champion? June and Day have sacrificed so much for the people of the Republic—and each other—and now their country is on the brink of a new existence. June is back in the good graces of the Republic, working within the government’s elite circles as Princeps-Elect, while Day has been assigned a high-level military position. But neither could have predicted the circumstances that will reunite them: just when a peace treaty is imminent, a plague outbreak causes panic in the Colonies, and war threatens the Republic’s border cities. This new strain of plague is deadlier than ever, and June is the only one who knows the key to her country’s defense. But saving the lives of thousands will mean asking the one she loves to give up everything. With heart-pounding action and suspense, Marie Lu’s bestselling trilogy draws to a stunning conclusion.",4.36,Champion,Science Fiction,"['Legend.She', 'Day']","['Republic', 'Republic', 'Colonies', 'Republic']",['Princeps-Elect'],"['Day', 'Marie Lu']"
552,Ursula K. Le Guin,"A groundbreaking work of science fiction, The Left Hand of Darkness tells the story of a lone human emissary to Winter, an alien world whose inhabitants can choose -and change - their gender. His goal is to facilitate Winter's inclusion in a growing intergalactic civilization. But to do so he must bridge the gulf between his own views and those of the completely dissimilar culture that he encounters. Embracing the aspects of psychology, society, and human emotion on an alien world, The Left Hand of Darkness stands as a landmark achievement in the annals of intellectual science fiction.",4.06,The Left Hand of Darkness,Science Fiction,"['The Left Hand of Darkness', 'The Left Hand of Darkness']",['Winter'],[],['Winter']
591,Kurt Vonnegut,"The Sirens of Titan is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there's a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tell.",4.16,The Sirens of Titan,Science Fiction,"['Sirens of Titan', 'Earth']",[],[],"['Malachi Constant', 'Vonnegut']"
594,Orson Scott Card,"Welcome to Battleschool.Growing up is never easy. But try living on the mean streets as a child begging for food and fighting like a dog with ruthless gangs of starving kids who wouldn't hesitate to pound your skull into pulp for a scrap of apple. If Bean has learned anything on the streets, it's how to survive. And not with fists—He is way too small for that—But with brains.Bean is a genius with a magician's ability to zero in on his enemy and exploit his weakness.What better quality for a future general to lead the Earth in a final climactic battle against a hostile alien race, known as Buggers. At Battleschool Bean meets and befriends another future commander—Ender Wiggins—perhaps his only true rival.Only one problem: for Bean and Ender, the future is now.",4.31,Ender's Shadow,Science Fiction,['Buggers'],['Earth'],['Battleschool Bean'],"['Bean', 'Ender Wiggins', 'Bean', 'Ender']"
616,Walter M. Miller Jr.,"Winner of the 1961 Hugo Award for Best Novel and widely considered one of the most accomplished, powerful, and enduring classics of modern speculative fiction, Walter M. Miller, Jr.'s A Canticle for Leibowitz is a true landmark of twentieth-century literature—a chilling and still provocative look at a post-apocalyptic future.In a nightmarish ruined world slowly awakening to the light after sleeping in darkness, the infant rediscoveries of science are secretly nourished by cloistered monks dedicated to the study and preservation of the relics and writings of the blessed Saint Isaac Leibowitz. From here the story spans centuries of ignorance, violence, and barbarism, viewing through a sharp, satirical eye the relentless progression of a human race damned by its inherent humanness to recelebrate its grand foibles and repeat its grievous mistakes. Seriously funny, stunning, and tragic, eternally fresh, imaginative, and altogether remarkable, A Canticle for Leibowitz retains its ability to enthrall and amaze. It is now, as it always has been, a masterpiece.",3.98,A Canticle for Leibowitz,Science Fiction,"['Hugo Award', 'A Canticle for Leibowitz', 'A Canticle for Leibowitz']",[],[],"['Walter M. Miller', 'Isaac Leibowitz']"
628,Robert A. Heinlein,"The historians can’t seem to settle whether to call this one ""The Third Space War"" (or the fourth), or whether ""The First Interstellar War"" fits it better. We just call it “The Bug War."" Everything up to then and still later were ""incidents,"" ""patrols,"" or ""police actions."" However, you are just as dead if you buy the farm in an ""incident"" as you are if you buy it in a declared war...In one of Robert A. Heinlein’s most controversial bestsellers, a recruit of the future goes through the toughest boot camp in the Universe—and into battle with the Terran Mobile Infantry against mankind’s most alarming enemy.",4.0,Starship Troopers,Science Fiction,"['The Third Space War', 'The First Interstellar War', 'The Bug War']",['Universe'],['Terran Mobile Infantry'],['Robert A. Heinlein']
631,Robert A. Heinlein,"It is a tale of revolution, of the rebellion of a former penal colony on the Moon against its masters on the Earth. It is a tale of a culture whose family structures are based on the presence of two men for every woman, leading to novel forms of marriage and family. It is the story of the disparate people, a computer technician, a vigorous young female agitator, and an elderly academic who become the movement's leaders, and of Mike, the supercomputer whose sentience is known only to the revolt's inner circle, who for reasons of his own is committed to the revolution's ultimate success.",4.17,The Moon is a Harsh Mistress,Science Fiction,['Earth'],['Moon'],[],['Mike']
636,Tahereh Mafi,"The thrilling second installment in New York Times bestselling author Tahereh Mafi’s Shatter Me series.It should have taken Juliette a single touch to kill Warner. But his mysterious immunity to her deadly power has left her shaken, wondering why her ultimate defense mechanism failed against the person she most needs protection from.She and Adam were able to escape Warner’s clutches and join up with a group of rebels, many of whom have powers of their own. Juliette will finally be able to actively fight against The Reestablishment and try to fix her broken world. And perhaps these new allies can help her shed light on the secret behind Adam’s—and Warner’s—immunity to her killer skin.Juliette’s world is packed with high-stakes action and tantalizing romance, perfect for fans of the Red Queen series by Victoria Aveyard and the Darkest Minds trilogy by Alexandra Bracken.Ransom Riggs, #1 New York Times bestselling author of Miss Peregrine's Home for Peculiar Children, raved: ""A thrilling, high-stakes saga of self-discovery and forbidden love, the Shatter Me series is a must-read for fans of dystopian young-adult literature—or any literature!""",4.27,Unravel Me,Science Fiction,"['Shatter Me', 'The Reestablishment', 'Red Queen', ""Miss Peregrine 's Home for Peculiar Children"", 'Shatter Me']",[],"['New York Times', 'New York Times']","['Tahereh Mafi', 'Juliette', 'Warner', 'Adam', 'Warner', 'Juliette', 'Adam', 'Warner', 'Victoria Aveyard', 'Alexandra Bracken.Ransom Riggs']"
645,Douglas Adams,"Alternate Cover Edition ISBN 0345418921 (ISBN13: 9780345418920)Facing annihilation at the hands of the warlike Vogons is a curious time to have a cosmically displaced Arthur Dent and his curious comrades in arms as they hurtle through space powered by pure improbability - and desperately in search of a place to eat. Among Arthur's motley shipmates are Ford Prefect, a long-time friend and contributor to the The Hitch Hiker's Guide to the Galaxy; Zaphod Beeblebrox, the three-armed, two-headed ex-president of the galaxy; Tricia McMilan, a fellow Earth refuge who's gone native (her name is Trillian now); and Marvin, who suffers nothing and no one gladly.Source: douglasadams.com",4.22,The Restaurant at the End of the Universe,Science Fiction,"['Vogons', 'Ford Prefect', ""The Hitch Hiker 's Guide to the Galaxy"", 'Trillian']",[],[],"['Arthur Dent', 'Arthur', 'Zaphod Beeblebrox', 'Tricia McMilan', 'Marvin']"
662,Mary Doria Russell,"In 2019, humanity finally finds proof of extraterrestrial life when a listening post in Puerto Rico picks up exquisite singing from a planet that will come to be known as Rakhat. While United Nations diplomats endlessly debate a possible first contact mission, the Society of Jesus quietly organizes an eight-person scientific expedition of its own. What the Jesuits find is a world so beyond comprehension that it will lead them to question what it means to be ""human"".",4.17,The Sparrow,Science Fiction,['Jesuits'],['Puerto Rico'],"['United Nations', 'Society of Jesus']",['Rakhat']
678,Lauren Oliver,"The old life is dead. But the old Lena is dead too. I buried her. I left her beyond a fence, behind a wall of smoke and ﬂame. In this electrifying follow-up to her acclaimed New York Times bestseller Delirium, Lauren Oliver sets Lena on a dangerous course that hurtles through the unregulated Wilds and into the heart of a growing resistance movement. This riveting, brilliant novel crackles with the fire of fierce defiance, forbidden romance, and the sparks of a revolution about to ignite.",4.06,Pandemonium,Science Fiction,['Delirium'],['Wilds'],['New York Times'],"['Lena', 'Lauren Oliver', 'Lena']"
736,Pierce Brown,"""I live for the dream that my children will be born free,"" she says. ""That they will be what they like. That they will own the land their father gave them.""""I live for you,"" I say sadly.Eo kisses my cheek. ""Then you must live for more.""Darrow is a Red, a member of the lowest caste in the color-coded society of the future. Like his fellow Reds, he works all day, believing that he and his people are making the surface of Mars livable for future generations.Yet he spends his life willingly, knowing that his blood and sweat will one day result in a better world for his children.But Darrow and his kind have been betrayed. Soon he discovers that humanity already reached the surface generations ago. Vast cities and sprawling parks spread across the planet. Darrow—and Reds like him—are nothing more than slaves to a decadent ruling class.Inspired by a longing for justice, and driven by the memory of lost love, Darrow sacrifices everything to infiltrate the legendary Institute, a proving ground for the dominant Gold caste, where the next generation of humanity's overlords struggle for power. He will be forced to compete for his life and the very future of civilization against the best and most brutal of Society's ruling class. There, he will stop at nothing to bring down his enemies... even if it means he has to become one of them to do so.",4.27,Red Rising,Science Fiction,[],['Mars'],"['Reds', 'Society']","['Darrow', 'Red', 'Darrow', 'Darrow', 'Reds', 'Darrow']"
763,Arthur C. Clarke,"The Overlords appeared suddenly over every city--intellectually, technologically, and militarily superior to humankind. Benevolent, they made few demands: unify earth, eliminate poverty, and end war. With little rebellion, humankind agreed, and a golden age began.But at what cost? With the advent of peace, man ceases to strive for creative greatness, and a malaise settles over the human race. To those who resist, it becomes evident that the Overlords have an agenda of their own. As civilization approaches the crossroads, will the Overlords spell the end for humankind . . . or the beginning?",4.1,Childhood's End,Science Fiction,"['Overlords', 'Benevolent', 'Overlords', 'Overlords']",[],[],[]
824,Douglas Adams,"The unhappy inhabitants of planet Krikkit are sick of looking at the night sky above their heads–so they plan to destroy it. The universe, that is. Now only five individuals stand between the killer robots of Krikkit and their goal of total annihilation.They are Arthur Dent, a mild-mannered space and time traveler who tries to learn how to fly by throwing himself at the ground and missing; Ford Prefect, his best friend, who decides to go insane to see if he likes it; Slartibartfast, the indomitable vice president of the Campaign for Real Time, who travels in a ship powered by irrational behavior; Zaphod Beeblebrox, the two-headed, three-armed ex-president of the galazy; and Trillian, the sexy space cadet who is torn between a persistent Thunder God and a very depressed Beeblebrox.How will it all end? Will it end? Only this stalwart crew knows as they try to avert “universal” Armageddon and save life as we know it–and don’t know it!",4.2,"Life, the Universe and Everything",Science Fiction,"['Ford Prefect', 'Campaign for Real Time', 'Trillian', 'Thunder God']","['Krikkit', 'Krikkit']",[],"['Arthur Dent', 'Slartibartfast', 'Zaphod Beeblebrox']"
833,Douglas Adams,"What do a dead cat, a computer whiz-kid, an Electric Monk who believes the world is pink, quantum mechanics, a Chronologist over 200 years old, Samuel Taylor Coleridge (poet), and pizza have in common? Apparently not much; until Dirk Gently, self-styled private investigator, sets out to prove the fundamental interconnectedness of all things by solving a mysterious murder, assisting a mysterious professor, unravelling a mysterious mystery, and eating a lot of pizza – not to mention saving the entire human race from extinction along the way (at no extra charge). To find out more, read this book (better still, buy it, then read it) – or contact Dirk Gently’s Holistic Detective Agency. ‘A thumping good detective-ghost-horror-whodunnit-time travel-romantic-musical-comedy epic.’ The author",3.98,Dirk Gently's Holistic Detective Agency,Science Fiction,['Electric Monk'],[],['Holistic Detective Agency'],"['Samuel Taylor Coleridge', 'Dirk Gently', 'Dirk Gently']"
860,Ursula K. Le Guin,"Shevek, a brilliant physicist, decides to take action. He will seek answers, question the unquestionable, and attempt to tear down the walls of hatred that have isolated his planet of anarchists from the rest of the civilized universe. To do this dangerous task will mean giving up his family and possibly his life--Shevek must make the unprecedented journey to the utopian mother planet, Urras, to challenge the complex structures of life and living, and ignite the fires of change.",4.2,The Dispossessed,Science Fiction,[],[],[],"['Shevek', 'Shevek', 'Urras']"
880,Philip K. Dick,"It's America in 1962. Slavery is legal once again. The few Jews who still survive hide under assumed names. In San Francisco, the I Ching is as common as the Yellow Pages. All because some twenty years earlier the United States lost a war—and is now occupied by Nazi Germany and Japan.This harrowing, Hugo Award-winning novel is the work that established Philip K. Dick as an innovator in science fiction while breaking the barrier between science fiction and the serious novel of ideas. In it Dick offers a haunting vision of history as a nightmare from which it may just be possible to wake.",3.64,The Man in the High Castle,Science Fiction,"['Jews', 'Yellow Pages', 'Hugo Award-winning']","['America', 'San Francisco', 'United States', 'Nazi Germany', 'Japan.This']",[],"['Philip K. Dick', 'Dick']"
